"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.385187510E2,6.500665333E1,2.560979500E1,2.632438911E1,1.809248567E0,5.045999908E1,1.500000000E0,8.600000381E0
1.395187510E2,6.500666167E1,2.560982333E1,2.632438346E1,1.804616094E0,6.254000092E1,1.399999976E0,8.399999619E0
1.405187510E2,6.500667000E1,2.560985667E1,2.642437721E1,1.760864735E0,6.386000061E1,1.399999976E0,8.500000000E0
1.415187510E2,6.500667833E1,2.560988667E1,2.642437137E1,1.701671720E0,6.776000214E1,1.399999976E0,8.500000000E0
1.425187510E2,6.500668167E1,2.560992167E1,2.662436625E1,1.652258277E0,6.726999664E1,1.399999976E0,8.300000191E0
1.435187510E2,6.500668500E1,2.560995000E1,2.662436194E1,1.620345592E0,7.516000366E1,1.399999976E0,8.300000191E0
1.445187510E2,6.500668500E1,2.560998333E1,2.682435792E1,1.597183108E0,8.838999939E1,1.399999976E0,7.599999905E0
1.455187510E2,6.500668167E1,2.561001667E1,2.692435478E1,1.569902778E0,9.651000214E1,1.399999976E0,7.699999809E0
1.465187510E2,6.500667667E1,2.561004167E1,2.692435310E1,1.550858021E0,1.127399979E2,1.399999976E0,7.599999905E0
1.475187510E2,6.500666667E1,2.561007167E1,2.702435215E1,1.553431630E0,1.312400055E2,1.399999976E0,7.500000000E0
1.485187510E2,6.500665500E1,2.561010167E1,2.712435164E1,1.568358660E0,1.411100006E2,1.399999976E0,7.599999905E0
1.495187510E2,6.500664333E1,2.561012167E1,2.722435234E1,1.587918043E0,1.450099945E2,1.399999976E0,8.000000000E0
1.505187510E2,6.500662667E1,2.561014000E1,2.682435457E1,1.680053353E0,1.436900024E2,1.399999976E0,7.800000191E0
1.515187510E2,6.500660500E1,2.561017167E1,2.662435653E1,1.765497208E0,1.521100006E2,1.399999976E0,7.800000191E0
1.525187510E2,6.500658333E1,2.561020000E1,2.612435888E1,1.928664207E0,1.470000000E2,1.399999976E0,7.800000191E0
