"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.202205390E-1,-1.163410023E-1,-8.305230141E-1,-1.922940016E-1
9.252310010E-1,-2.104060054E-1,-7.197750211E-1,1.900070012E-1
9.302417060E-1,-2.505399883E-1,-6.714209914E-1,4.865120053E-1
9.352521700E-1,-2.761439979E-1,-7.336940169E-1,7.018439770E-1
9.402627060E-1,-2.899779975E-1,-7.528030276E-1,7.951840162E-1
9.452731700E-1,-3.142600060E-1,-7.592350245E-1,7.474030256E-1
9.502838600E-1,-2.369879931E-1,-7.242169976E-1,5.488680005E-1
9.552943430E-1,-1.364769936E-1,-7.136660218E-1,2.571299970E-1
9.603048040E-1,-7.120200247E-2,-5.911669731E-1,-3.679199889E-2
9.653153310E-1,-5.913899839E-2,-4.485360086E-1,-3.544990122E-1
9.703257940E-1,-3.650400043E-2,-3.726870120E-1,-7.631970048E-1
9.753364940E-1,-2.624299936E-2,-3.510249853E-1,-1.157590032E0
9.803469580E-1,-2.061600052E-2,-3.218970001E-1,-1.518643022E0
9.853574990E-1,-3.525299951E-2,-2.580760121E-1,-1.786566973E0
9.903681920E-1,-1.110640019E-1,-1.927700043E-1,-1.954262972E0
9.953786640E-1,-1.999530047E-1,-1.885959953E-1,-1.959681988E0
1.000389126E0,-2.309329957E-1,-2.656300068E-1,-1.740447044E0
1.005399643E0,-3.490960002E-1,-3.141250014E-1,-1.386986971E0
1.010410107E0,-4.410170019E-1,-3.203180134E-1,-9.254270196E-1
1.015420788E0,-5.685979724E-1,-3.540300131E-1,-4.224100113E-1
1.020431252E0,-6.202480197E-1,-3.872349858E-1,1.199439988E-1
1.025441713E0,-6.547930241E-1,-4.025300145E-1,7.351740003E-1
1.030452250E0,-6.033319831E-1,-4.077779949E-1,1.293601990E0
1.035462712E0,-4.690580070E-1,-4.182949960E-1,1.528838038E0
1.040473403E0,-3.538550138E-1,-4.278259873E-1,1.612704992E0
1.045483866E0,-2.516250014E-1,-4.319689870E-1,1.647907972E0
1.050494349E0,-1.797830015E-1,-3.566359878E-1,1.528964043E0
1.055504885E0,-1.592739969E-1,-2.891399860E-1,1.262912989E0
1.060515349E0,-1.546739936E-1,-2.567679882E-1,9.291139841E-1
1.065526039E0,-1.737470031E-1,-2.446279973E-1,5.901679993E-1
1.070536580E0,-1.916870028E-1,-1.703290045E-1,1.865130067E-1
1.075547041E0,-2.078920007E-1,-9.693899751E-2,-1.740989983E-1
1.080557731E0,-1.865819991E-1,-9.527900070E-2,-4.843289852E-1
1.085568195E0,-1.301839948E-1,-9.574799985E-2,-6.985120177E-1
